gene,condition,row,source,regulator_class,regpower_eb_mean,n_downstream,cluster,program_label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
TP53,Rest,29551,context-specific,condition-specific,0.9429,1848,9,mixed,-34.2127,10.1663,-17.6365,5.7807,5.8264,-3.8636,-10.0046,-3.9201,-4.7658,6.59
EGR2,Stim8hr,8357,context-specific,condition-specific,0.938,854,9,mixed,-19.1336,1.6102,-8.2511,-1.8598,5.505,-1.7575,-16.7328,9.7927,1.0686,-4.6773
ELP1,Stim8hr,8583,context-specific,condition-specific,0.9361,827,10,mixed,-20.7845,-6.1456,2.6778,1.1044,15.3246,-7.2588,-2.9419,2.2505,-1.0504,2.7663
PPM1L,Rest,21604,context-specific,condition-specific,0.9291,928,9,mixed,-31.9844,14.7244,-11.6031,11.6268,-0.6902,-1.2345,6.1032,5.0451,-0.2612,0.6884
ATF4,Stim8hr,2166,context-specific,condition-specific,0.9185,1061,10,mixed,-13.9603,-12.3816,18.6372,0.166,0.2305,-7.8268,2.0242,3.0601,4.6726,-3.9782
ZNF649,Stim48hr,33394,context-specific,condition-specific,0.9112,1173,9,mixed,-31.2786,9.4651,-15.4716,0.1162,2.9203,-2.4883,-1.4584,1.4754,0.2149,-4.5314
UBE2E2,Stim8hr,30536,context-specific,condition-specific,0.9091,1523,2,TCR signaling,29.1505,0.2579,-16.978,11.9599,-3.2369,-1.5349,0.6685,2.686,-2.9116,-2.1045
DYNC2H1,Rest,8076,context-specific,condition-specific,0.9055,869,9,mixed,-30.8685,14.6097,-7.5842,12.0232,-2.3642,2.7445,5.2106,4.6562,0.0637,1.529
COASY,Stim8hr,5927,context-specific,condition-specific,0.9009,622,10,mixed,-9.3123,-5.0329,3.0968,1.5253,5.1492,-6.554,4.4807,2.9711,4.9052,2.2625
DCAKD,Stim8hr,7014,context-specific,condition-specific,0.9,1497,2,mixed,6.389,7.8549,-12.3465,13.1067,2.0515,7.1245,2.1296,-1.0899,1.8362,-0.8705
RBM33,Stim8hr,23179,context-specific,condition-specific,0.8983,814,2,mixed,10.8457,-1.2386,-7.8389,0.6329,1.6163,-1.5059,2.8496,1.2359,3.0504,3.3976
CD3E,Stim8hr,4694,context-specific,condition-specific,0.894,5710,2,TCR signaling,118.1353,-13.4905,-33.3221,7.5558,0.7247,-7.553,1.8022,-0.6704,3.7575,-1.7821
TXNL4B,Stim8hr,30422,context-specific,condition-specific,0.8855,966,10,mixed,-12.788,-8.8222,8.2979,3.1634,1.3423,-5.9884,-1.0933,0.1195,1.4706,-0.1372
EFR3A,Stim8hr,8331,context-specific,condition-specific,0.8825,2029,2,TCR signaling,32.1965,-12.1349,-4.9059,12.5979,-3.0489,-2.7911,6.2474,11.0506,0.3994,-4.2862
SINHCAF,Stim8hr,25341,context-specific,condition-specific,0.8723,1210,2,mixed,6.4289,9.3401,3.4418,2.8104,0.7793,-6.3687,-4.1781,0.4902,2.8511,0.342
GABARAPL1,Rest,10586,context-specific,condition-specific,0.872,792,9,mixed,-27.9535,11.3969,-7.9749,13.5903,-6.4249,0.0761,5.1539,4.1876,-1.8298,1.5124
