source,target,condition,subsumption_frac
ADNP2,BCL9L,Rest,0.07806691449814127
ADNP2,BCOR,Rest,0.05421686746987952
ADNP2,BHLHE40,Rest,0.11894273127753303
ADNP2,BRD7,Rest,0.10810810810810811
ADNP2,BRMS1,Rest,0.0958904109589041
ADNP2,BTAF1,Rest,0.09408194233687406
ADNP2,BZW2,Rest,0.10638297872340426
ADNP2,C16orf87,Rest,0.07563025210084033
ADNP2,C6orf120,Rest,0.02617801047120419
ADNP2,C8orf33,Rest,0.12430939226519337
ADNP2,CAB39,Rest,0.06467661691542288
ADNP2,CALM1,Rest,0.08928571428571429
ADNP2,CAND1,Rest,0.07796610169491526
ADNP2,CARM1,Rest,0.09465020576131687
ADNP2,CARNMT1,Rest,0.06493506493506493
ADNP2,CASP3,Rest,0.1348314606741573
AHR,TADA2B,Rest,0.4604651162790698
AHR,ELAVL1,Rest,0.4931714719271624
AHR,ARNT,Rest,0.7863741339491916
AHR,NSD1,Rest,0.5103244837758112
AHR,USP22,Rest,0.4756258234519104
AHR,AACS,Rest,0.5203252032520326
AHR,ABCA5,Rest,0.4154929577464789
AHR,ABCC1,Rest,0.4491525423728814
AHR,ACACA,Rest,0.5106382978723404
AHR,ADNP,Rest,0.5920398009950248
AHR,ADNP2,Rest,0.5114942528735632
AHR,AHSA1,Rest,0.4774193548387097
AHR,AK3,Rest,0.4786885245901639
AHR,AKAP17A,Rest,0.3888888888888889
AHR,ANKRD11,Rest,0.4467005076142132
AHR,ANKRD27,Rest,0.5487179487179488
AHR,ANTKMT,Rest,0.4
AHR,APEX1,Rest,0.3787878787878788
AHR,APMAP,Rest,0.4825174825174825
AHR,APOBEC3B,Rest,0.4258373205741627
AHR,ARHGAP15,Rest,0.5660377358490566
AHR,ARHGAP30,Rest,0.5770750988142292
AHR,ARID5A,Rest,0.5023255813953489
AHR,ARIH2,Rest,0.43636363636363634
AHR,ARL8B,Rest,0.5714285714285714
AHR,ARMC8,Rest,0.4672897196261682
AHR,ARRB1,Rest,0.5633802816901409
AHR,ASXL1,Rest,0.4810810810810811
AHR,ATAD5,Rest,0.48484848484848486
AHR,ATF7IP,Rest,0.4067796610169492
AHR,ATG12,Rest,0.4529262086513995
AHR,ATM,Rest,0.5076335877862596
AHR,B4GALT5,Rest,0.47794117647058826
AHR,BCL9L,Rest,0.5687732342007435
AHR,BCOR,Rest,0.5421686746987951
