gene,raw_score,kd_gated_score,eb_score,raw_rank,kd_gated_rank,eb_rank,dropped_by_kd_gate,rank_shift_raw_to_eb
ACYP2,401,401.0,-0.3943,792,665,1275,False,-483.0
HCFC1,400,400.0,0.5678,793,666,488,False,305.0
ESYT2,400,400.0,0.6898,793,666,427,False,366.0
KIF16B,400,400.0,-1.7601,793,666,3335,False,-2542.0
ALG1,399,399.0,0.5669,796,670,491,False,305.0
RWDD2A,398,,,797,,,True,
PAX7,397,,,798,,,True,
COX18,397,397.0,-0.9639,798,671,1931,False,-1133.0
EXT2,397,397.0,-0.8569,798,671,1789,False,-991.0
COX10,396,244.0,0.2895,801,916,688,False,113.0
NR4A3,395,395.0,0.181,802,673,764,False,38.0
ZNF710,393,393.0,0.5951,803,674,477,False,326.0
BAHD1,392,392.0,0.1979,804,675,752,False,52.0
CYB561D2,392,392.0,-0.1445,804,675,1039,False,-235.0
MRPL50,391,,,806,,,True,
ITPR1,391,391.0,-1.7649,806,677,3338,False,-2532.0
E2F1,389,389.0,0.567,808,678,490,False,318.0
SUGT1,389,389.0,0.2564,808,678,713,False,95.0
HP1BP3,388,388.0,0.6149,810,680,469,False,341.0
CYB5RL,388,388.0,-1.1285,810,680,2178,False,-1368.0
SLC16A1,386,386.0,-1.3071,812,682,2454,False,-1642.0
DIS3,386,386.0,0.7369,812,682,404,False,408.0
CEP57,386,1.0,-2.3954,812,6019,5340,False,-4528.0
LETM2,385,385.0,0.2775,815,684,699,False,116.0
PDSS1,384,384.0,0.2346,816,685,729,False,87.0
PTPN1,383,383.0,0.4767,817,686,560,False,257.0
RBM18,382,382.0,-0.4916,818,687,1375,False,-557.0
EFHC1,381,381.0,0.6084,819,688,473,False,346.0
ZC3H10,380,380.0,0.7481,820,689,393,False,427.0
HNRNPA2B1,379,379.0,0.7954,821,690,363,False,458.0
CARM1,378,378.0,0.6118,822,691,471,False,351.0
NAF1,378,378.0,0.5474,822,691,506,False,316.0
RMND5A,377,377.0,-0.036,824,693,938,False,-114.0
PPP1R13L,376,376.0,0.3587,825,694,636,False,189.0
SLC25A1,376,376.0,-0.0761,825,694,989,False,-164.0
UBE2T,376,376.0,0.7959,825,694,362,False,463.0
IMMP1L,376,376.0,-0.1815,825,694,1073,False,-248.0
MAN1A2,376,376.0,0.6036,825,694,474,False,351.0
WNK1,376,376.0,0.6956,825,694,420,False,405.0
TLN1,375,375.0,0.1039,831,700,823,False,8.0
CDIPT,375,375.0,-0.9668,831,700,1936,False,-1105.0
FBXO42,374,374.0,0.3641,833,702,631,False,202.0
NRAS,374,374.0,0.6969,833,702,417,False,416.0
TASOR,373,373.0,0.9339,835,704,288,False,547.0
MOB1A,373,373.0,-1.4374,835,704,2726,False,-1891.0
BCKDHA,373,373.0,0.5426,835,704,510,False,325.0
TOMM20,372,214.0,0.3425,838,978,652,False,186.0
ORMDL2,371,371.0,-1.7758,839,708,3362,False,-2523.0
B4GALNT3,371,371.0,0.4281,839,708,594,False,245.0
VENTX,371,,,839,,,True,
COL6A1,370,,,842,,,True,
GNS,369,369.0,-0.1054,843,710,1014,False,-171.0
SCO2,368,368.0,0.0441,844,711,877,False,-33.0
HEXD,367,367.0,-0.0874,845,712,1000,False,-155.0
MED14,366,366.0,0.5414,846,713,511,False,335.0
SENP1,366,366.0,0.114,846,713,813,False,33.0
